answer,question
Cyanide,"A cyanide is any chemical compound that contains monovalent combining group CN. This group, known as the cyano group, consists of a carbon atom triple-bonded to a nitrogen atom."
Aldehyde,"An aldehyde /ˈældɨhaɪd/ or alkanal is an organic compound containing a formyl group. The formyl group is a functional group, with the structure R-CHO, consisting of a carbonyl center (a carbon double bonded to oxygen) bonded to hydrogen and an R group, which is any generic alkyl or side chain. The group without R is called the aldehyde group or formyl group. Aldehydes differ from ketones in that the carbonyl is placed at the end of a carbon skeleton rather than between two carbon atoms. Aldehydes are common in organic chemistry. Many fragrances are aldehydes."
Peroxisome,"Peroxisomes IPA: [pɛɜˈɹɒksɪˌsoʊmz] (also called microbodies) are organelles found in virtually all eukaryotic cells. They are involved in the catabolism of very long chain fatty acids, branched chain fatty acids, D-amino acids, and polyamines, reduction of reactive oxygen species - specifically hydrogen peroxide - and biosynthesis of plasmalogens, i.e. ether phospholipids critical for the normal function of mammalian brains and lungs. They also contain approximately 10% of the total activity of two enzymes in the pentose phosphate pathway, which is important for energy metabolism. It is vigorously debated if peroxisomes are involved in isoprenoid and cholesterol synthesis in animals. Other known peroxisomal functions include the glyoxylate cycle in germinating seeds (""glyoxysomes""), photorespiration in leaves, glycolysis in trypanosomes (""glycosomes""), and methanol and/or amine oxidation and assimilation in some yeasts."
Dirac delta function,"In mathematics, the Dirac delta function, or δ function, is a generalized function, or distribution, on the real number line that is zero everywhere except at zero, with an integral of one over the entire real line. The delta function is sometimes thought of as an infinitely high, infinitely thin spike at the origin, with total area one under the spike, and physically represents the density of an idealized point mass or point charge. It was introduced by theoretical physicist Paul Dirac. In the context of signal processing it is often referred to as the unit impulse symbol (or function). Its discrete analog is the Kronecker delta function, which is usually defined on a discrete domain and takes values 0 and 1."
Action (physics),"In physics, action is an attribute of the dynamics of a physical system. It is a mathematical functional which takes the trajectory, also called path or history, of the system as its argument and has a real number as its result. Generally, the action takes different values for different paths. Action has the dimensions of [energy]·[time], and its SI unit is joule-second. This is the same unit as that of angular momentum."
Gross domestic product,"Gross domestic product (GDP) is a monetary measure of the value of all final goods and services produced in period of time (quarterly or yearly). GDP estimates are commonly used to determine the economic performance and standard of living of a whole country or region, and to make international comparisons."
Pythagorean theorem,"In mathematics, the Pythagorean theorem, also known as Pythagoras' theorem, is a relation in Euclidean geometry among the three sides of a right triangle. It states that the square of the hypotenuse (the side opposite the right angle) is equal to the sum of the squares of the other two sides. The theorem can be written as an equation relating the lengths of the sides a, b and c, often called the ""Pythagorean equation"":"
Ligand,"In coordination chemistry, a ligand (/lɪɡənd/) is an ion or molecule (functional group) that binds to a central metal atom to form a coordination complex. The bonding between metal and ligand generally involves formal donation of one or more of the ligand's electron pairs. The nature of metal-ligand bonding can range from covalent to ionic. Furthermore, the metal-ligand bond order can range from one to three. Ligands are viewed as Lewis bases, although rare cases are known to involve Lewis acidic ""ligand."""
Work function,"In solid-state physics, the work function (sometimes spelled workfunction) is the minimum thermodynamic work (i.e. energy) needed to remove an electron from a solid to a point in the vacuum immediately outside the solid surface. Here ""immediately"" means that the final electron position is far from the surface on the atomic scale, but still too close to the solid to be influenced by ambient electric fields in the vacuum. The work function is not a characteristic of a bulk material, but rather a property of the surface of the material (depending on crystal face and contamination)."
Van der Waals force,"In physical chemistry, the van der Waals forces (or van der Waals' interaction), named after Dutch scientist Johannes Diderik van der Waals, are the residual attractive or repulsive forces between molecules or atomic groups that do not arise from a covalent bond, or electrostatic interaction. The resulting van der Waals forces can be attractive or repulsive."
Augustin-Louis Cauchy,"Baron Augustin-Louis Cauchy FRS FRSE (French: [oɡysˈtɛ̃ lwi koˈʃi]; 21 August 1789 – 23 May 1857) was a French mathematician reputed as a pioneer of analysis. He was one of the first to state and prove theorems of calculus rigorously, rejecting the heuristic principle of the generality of algebra of earlier authors. He almost singlehandedly founded complex analysis and the study of permutation groups in abstract algebra. A profound mathematician, Cauchy had a great influence over his contemporaries and successors. His writings range widely in mathematics and mathematical physics."
Infinity,"Infinity (symbol: ∞) is an abstract concept describing something without any bound and is relevant in a number of fields, predominantly mathematics and physics. In mathematics, ""infinity"" is often treated as if it were a number (i.e., it counts or measures things: ""an infinite number of terms"") but it is not the same sort of number as natural or real numbers."
Cortisol,"Cortisol is a steroid hormone, in the glucocorticoid class of hormones, and is produced in humans by the zona fasciculata of the adrenal cortex within the adrenal gland. It is released in response to stress and low blood-glucose concentration."
Circadian rhythm,"A circadian rhythm /sɜrˈkeɪdiən/ is any biological process that displays an endogenous, entrainable oscillation of about 24 hours. These 24-hour rhythms are driven by a circadian clock, and they have been widely observed in plants, animals, fungi, and cyanobacteria."
Pernicious anemia,"Pernicious anemia (also known as vitamin B12 deficiency anemia, Biermer's anemia, Addison's anemia, or Addison–Biermer anemia) is one of many types of the larger family of megaloblastic anemias. One way pernicious anemia can develop is by loss of gastric parietal cells, which are responsible, in part, for the secretion of intrinsic factor, a protein essential for subsequent absorption of vitamin B12 in the ileum."
Nicolaus Copernicus,"Nicolaus Copernicus (/kɵˈpɜrnɪkəs/; Polish: Mikołaj Kopernik [miˈkɔwaj kɔˈpɛrɲik]; German: Nikolaus Kopernikus; 19 February 1473 – 24 May 1543) was a Renaissance mathematician and astronomer who formulated a model of the universe that placed the Sun rather than the Earth at the center of the universe. The publication of this model in his book De revolutionibus orbium coelestium (On the Revolutions of the Celestial Spheres) just before his death in 1543 is considered a major event in the history of science, triggering the Copernican Revolution and making an important contribution to the Scientific Revolution."
Arrhenius equation,"The Arrhenius equation is a formula for the temperature dependence of reaction rates. The equation was proposed by Svante Arrhenius in 1889, based on the work of Dutch chemist Jacobus Henricus van 't Hoff who had noted in 1884 that Van 't Hoff's equation for the temperature dependence of equilibrium constants suggests such a formula for the rates of both forward and reverse reactions. Arrhenius provided a physical justification and interpretation for the formula. Currently, it is best seen as an empirical relationship. It can be used to model the temperature variation of diffusion coefficients, population of crystal vacancies, creep rates, and many other thermally-induced processes/reactions. The Eyring equation, developed in 1935, also expresses the relationship between rate and energy."
Piezoelectricity,"Piezoelectricity /piˌeɪzoʊˌilɛkˈtrɪsɪti/ is the electric charge that accumulates in certain solid materials (such as crystals, certain ceramics, and biological matter such as bone, DNA and various proteins) in response to applied mechanical stress. The word piezoelectricity means electricity resulting from pressure. It is derived from the Greek piezo (πιέζω) or piezein (πιέζειν), which means to squeeze or press, and electric or electron (ήλεκτρον), which means amber, an ancient source of electric charge. Piezoelectricity was discovered in 1880 by French physicists Jacques and Pierre Curie."
Curvature,"In mathematics, curvature is any of a number of loosely related concepts in different areas of geometry. Intuitively, curvature is the amount by which a geometric object deviates from being flat, or straight in the case of a line, but this is defined in different ways depending on the context. There is a key distinction between extrinsic curvature, which is defined for objects embedded in another space (usually a Euclidean space) in a way that relates to the radius of curvature of circles that touch the object, and intrinsic curvature, which is defined at each point in a Riemannian manifold. This article deals primarily with the first concept."
Types of volcanic eruptions,"Several types of volcanic eruptions—during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure—have been distinguished by volcanologists. These are often named after famous volcanoes where that type of behavior has been observed. Some volcanoes may exhibit only one characteristic type of eruption during a period of activity, while others may display an entire sequence of types all in one eruptive series."
Anabolic steroid,"Anabolic steroids, technically known as anabolic-androgenic steroids (AAS), are drugs that are structurally related to the cyclic steroid rings system and have similar effects to testosterone in the body. They increase protein within cells, especially in skeletal muscles. Anabolic steroids also have androgenic and virilizing properties, including the development and maintenance of masculine characteristics such as the growth of the vocal cords and body hair (secondary sexual characteristics). The word anabolic, referring to anabolism, comes from the Greek ἀναβολή anabole, ""that which is thrown up, mound"", and the word androgenic from the Greek ἀνδρός andros, ""of a man"" + -γενής -genes, ""born""."
Bone,"A bone is a rigid organ that constitutes part of the vertebral skeleton. Bones support and protect the various organs of the body, produce red and white blood cells, store minerals and also enable mobility. Bone tissue is a type of dense connective tissue. Bones come in a variety of shapes and sizes and have a complex internal and external structure. They are lightweight yet strong and hard, and serve multiple functions. Mineralized osseous tissue or bone tissue, is of two types – cortical and cancellous and gives it rigidity and a coral-like three-dimensional internal structure. Other types of tissue found in bones include marrow, endosteum, periosteum, nerves, blood vessels and cartilage."
Sun,"The Sun (in Greek: Helios, in Latin: Sol) is the star at the center of the Solar System and is by far the most important source of energy for life on Earth. It is a nearly perfect spherical ball of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. Its diameter is about 109 times that of Earth, and it has a mass about 330,000 times that of Earth, accounting for about 99.86% of the total mass of the Solar System. About three quarters of the Sun's mass consists of hydrogen; the rest is mostly helium, with much smaller quantities of heavier elements, including oxygen, carbon, neon and iron."
Total internal reflection,"Total internal reflection is a phenomenon which occurs when a propagating wave strikes a medium boundary at an angle larger than a particular critical angle with respect to the normal to the surface. If the refractive index is lower on the other side of the boundary and the incident angle is greater than the critical angle, the wave cannot pass through and is entirely reflected. The critical angle is the angle of incidence above which the total internal reflection occurs. This is particularly common as an optical phenomenon, where light waves are involved, but it occurs with many types of waves, such as electromagnetic waves in general or sound waves."
Niels Bohr,"Niels Henrik David Bohr (Danish: [nels ˈb̥oɐ̯ˀ]; 7 October 1885 – 18 November 1962) was a Danish physicist who made foundational contributions to understanding atomic structure and quantum theory, for which he received the Nobel Prize in Physics in 1922. Bohr was also a philosopher and a promoter of scientific research."
Adenine,"Adenine /ˈædɨnɨn/ (A, Ade) is a nucleobase (a purine derivative). Its derivatives have a variety of roles in biochemistry including cellular respiration, in the form of both the energy-rich adenosine triphosphate (ATP) and the cofactors nicotinamide adenine dinucleotide (NAD) and flavin adenine dinucleotide (FAD). It also has functions in protein synthesis and as a chemical component of DNA and RNA. The shape of adenine is complementary to either thymine in DNA or uracil in RNA."
Liver,"The liver is a vital organ of vertebrates and some other animals. In the human it is located in the upper right quadrant of the abdomen, below the diaphragm. The liver has a wide range of functions, including detoxification of various metabolites, protein synthesis, and the production of biochemicals necessary for digestion."
Steel,"Steels are alloys of iron and other elements, primarily carbon, widely used in construction and other applications because of their high tensile strengths and low costs. Carbon, other elements, and inclusions within iron act as hardening agents that prevent the movement of dislocations that otherwise occur in the crystal lattices of iron atoms."
Hydrochloric acid,"Hydrochloric acid is a clear, colorless, highly pungent solution of hydrogen chloride (HCl) in water. It is a highly corrosive, strong mineral acid with many industrial uses. Hydrochloric acid is found naturally in gastric acid."
Red Queen hypothesis,"The Red Queen hypothesis, also referred to as Red Queen's, Red Queen's race or The Red Queen Effect, is an evolutionary hypothesis which proposes that organisms must constantly adapt, evolve, and proliferate not merely to gain reproductive advantage, but also simply to survive while pitted against ever-evolving opposing organisms in an ever-changing environment, and intends to explain two different phenomena: the constant extinction rates as observed in the paleontological record caused by co-evolution between competing species and the advantage of sexual reproduction (as opposed to asexual reproduction) at the level of individuals."
DNA,"Deoxyribonucleic acid (/diˌɒksiˌraɪbɵ.njuːˌkleɪ.ɨk ˈæsɪd/; DNA) is a molecule that carries most of the genetic instructions used in the development, functioning and reproduction of all known living organisms and many viruses. DNA is a nucleic acid; alongside proteins and carbohydrates, nucleic acids compose the three major macromolecules essential for all known forms of life. Most DNA molecules consist of two biopolymer strands coiled around each other to form a double helix. The two DNA strands are known as polynucleotides since they are composed of simpler units called nucleotides. Each nucleotide is composed of a nitrogen-containing nucleobase—either cytosine (C), guanine (G), adenine (A), or thymine (T)—as well as a monosaccharide sugar called deoxyribose and a phosphate group. The nucleotides are joined to one another in a chain by covalent bonds between the sugar of one nucleotide and the phosphate of the next, resulting in an alternating sugar-phosphate backbone. According to base pairing rules (A with T, and C with G), hydrogen bonds bind the nitrogenous bases of the two separate polynucleotide strands to make double-stranded DNA. The total amount of related DNA base pairs on Earth is estimated at 5.0 x 1037, and weighs 50 billion tonnes. In comparison, the total mass of the biosphere has been estimated to be as much as 4 TtC (trillion tons of carbon)."
Hendrik Lorentz,Hendrik Antoon Lorentz (18 July 1853 – 4 February 1928) was a Dutch physicist who shared the 1902 Nobel Prize in Physics with Pieter Zeeman for the discovery and theoretical explanation of the Zeeman effect. He also derived the transformation equations subsequently used by Albert Einstein to describe space and time.
Marduk,"Marduk (Sumerian spelling in Akkadian: dAMAR.UTU 𒀭𒀫𒌓 ""solar calf""; Greek Μαρδοχαῖος, Mardochaios) was a late-generation god from ancient Mesopotamia and patron deity of the city of Babylon. When Babylon became the political center of the Euphrates valley in the time of Hammurabi (18th century BC), he slowly started to rise to the position of the head of the Babylonian pantheon, a position he fully acquired by the second half of the second millennium BC. In the city of Babylon, he resided in the temple Esagila. ""Marduk"" is the Babylonian form of his name."
Tropical cyclone,"A tropical cyclone is a rapidly rotating storm system characterized by a low-pressure center, strong winds, and a spiral arrangement of thunderstorms that produce heavy rain. Depending on its location and strength, a tropical cyclone is referred to by names such as hurricane (/ˈhʌrɨkən/ or /ˈhʌrɨkeɪn/), typhoon /taɪˈfuːn/, tropical storm, cyclonic storm, tropical depression, and simply cyclone."
Loess,"Loess (/ˈloʊ.əs/, /ˈlʌs/, /ˈlɛs/, or UK /ˈlɜrs/; from German Löss [lœs]) is a clastic, predominantly silt-sized sediment that is formed by the accumulation of wind-blown dust. It covers about 10% of the Earth's surface."
Silicon,"Silicon is a chemical element with symbol Si and atomic number 14. It is a tetravalent metalloid, more reactive than germanium, the metalloid directly below it in the table. Controversy about silicon's character dates to its discovery. It was first prepared and characterized in pure form in 1823. In 1808, it was given the name silicium (from Latin: silex, hard stone or flint), with an -ium word-ending to suggest a metal, a name which the element retains in several non-English languages. However, its final English name, first suggested in 1817, reflects the more physically similar elements carbon and boron."
Beta sheet,"The β sheet (also β-pleated sheet) is the second form of regular secondary structure in proteins. Beta sheets consist of beta strands connected laterally by at least two or three backbone hydrogen bonds, forming a generally twisted, pleated sheet. A beta strand (also β strand) is a stretch of polypeptide chain typically 3 to 10 amino acids long with backbone in an extended conformation. The higher-level association of β sheets has been implicated in formation of the protein aggregates and fibrils observed in many human diseases, notably the amyloidoses such as Alzheimer's disease."
Friedel-Crafts reaction,The Friedel–Crafts reactions are a set of reactions developed by Charles Friedel and James Crafts in 1877 to attach substituents to an aromatic ring. There are two main types of Friedel–Crafts reactions: alkylation reactions and acylation reactions. Both proceed by electrophilic aromatic substitution. The general reaction scheme is shown below.
Jet stream,"Jet streams are fast flowing, narrow air currents found in the upper atmosphere or in troposphere of some planets, including Earth. The main jet streams are located near the altitude of the tropopause. The major jet streams on Earth are westerly winds (flowing west to east). Their paths typically have a meandering shape; jet streams may start, stop, split into two or more parts, combine into one stream, or flow in various directions including the opposite direction of most of the jet. The strongest jet streams are the polar jets, at around 9–12 km (30,000–39,000 ft) above sea level, and the higher and somewhat weaker subtropical jets at around 10–16 km (33,000–52,000 ft). The Northern Hemisphere and the Southern Hemisphere each have a polar jet and a subtropical jet. The northern hemisphere polar jet flows over the middle to northern latitudes of North America, Europe, and Asia and their intervening oceans, while the southern hemisphere polar jet mostly circles Antarctica all year round."
Punctuated equilibrium,"Punctuated equilibrium (also called punctuated equilibria) is a theory in evolutionary biology which proposes that once species appear in the fossil record they will become stable, showing little net evolutionary change for most of their geological history. This state is called stasis. When significant evolutionary change occurs, the theory proposes that it is generally restricted to rare and geologically rapid events of branching speciation called cladogenesis. Cladogenesis is the process by which a species splits into two distinct species, rather than one species gradually transforming into another. Punctuated equilibrium is commonly contrasted against phyletic gradualism, the belief that evolution generally occurs uniformly and by the steady and gradual transformation of whole lineages (called anagenesis). In this view, evolution is seen as generally smooth and continuous."
Melanin,"Melanin /ˈmɛlənɪn/ (Greek: μέλας - melas, ""black, dark"") is a broad term for a group of natural pigments found in most organisms (arachnids are one of the few groups in which it has not been detected). Melanin is produced by the oxidation of the amino acid tyrosine, followed by polymerization. The pigment is produced in a specialized group of cells known as melanocytes."
Liquid crystal,"Liquid crystals (LCs) are matter in a state that has properties between those of conventional liquid and those of solid crystal. For instance, a liquid crystal may flow like a liquid, but its molecules may be oriented in a crystal-like way. There are many different types of liquid-crystal phases, which can be distinguished by their different optical properties (such as birefringence). When viewed under a microscope using a polarized light source, different liquid crystal phases will appear to have distinct textures. The contrasting areas in the textures correspond to domains where the liquid-crystal molecules are oriented in different directions. Within a domain, however, the molecules are well ordered. LC materials may not always be in a liquid-crystal phase (just as water may turn into ice or steam)."
Chandrasekhar limit,"The Chandrasekhar limit (/tʃʌndrəˈʃeɪkər/) is the maximum mass of a stable white dwarf star. The limit was first indicated in papers published by Wilhelm Anderson and E. C. Stoner, and was named after Subrahmanyan Chandrasekhar, the Indian astrophysicist who independently discovered and improved upon the accuracy of the calculation in 1930, at the age of 19, in India. This limit was initially ignored by the community of scientists because such a limit would logically require the existence of black holes, which were considered a scientific impossibility at the time. White dwarfs resist gravitational collapse primarily through electron degeneracy pressure. (By comparison, main sequence stars resist collapse through thermal pressure.) The Chandrasekhar limit is the mass above which electron degeneracy pressure in the star's core is insufficient to balance the star's own gravitational self-attraction. Consequently, white dwarfs with masses greater than the limit would be subject to further gravitational collapse, evolving into a different type of stellar remnant, such as a neutron star or black hole. (However, white dwarfs generally avoid this fate by exploding before they undergo collapse.) Those with masses under the limit remain stable as white dwarfs."
Ada (programming language),"Ada is a structured, statically typed, imperative, wide-spectrum, and object-oriented high-level computer programming language, extended from Pascal and other languages. It has built-in language support for design-by-contract, extremely strong typing, explicit concurrency, offering tasks, synchronous message passing, protected objects, and non-determinism. Ada improves code safety and maintainability by using the compiler to find errors in favor of runtime errors. Ada is an international standard; the current version (known as Ada 2012) is defined by ISO/IEC 8652:2012."
Sandmeyer reaction,"The Sandmeyer reaction is a chemical reaction used to synthesize aryl halides from aryl diazonium salts. It is named after the Swiss chemist Traugott Sandmeyer. The reaction is a method for substitution of an aromatic amino group via preparation of its diazonium salt followed by its displacement with a nucleophile, often catalyzed by copper(I) salts. The nucleophile can include halide anions, cyanide, thiols, water, and others. The reaction does not proceed well with the fluoride anion, but fluorination can be carried out using tetrafluoroborate anions (Balz–Schiemann reaction)."
Small intestine,"The small intestine or small bowel is the part of the gastrointestinal tract between the stomach and the large intestine, and is where much of the digestion and absorption of food takes place. The small intestine has three distinct regions – the duodenum, jejunum, and ileum. It receives bile and pancreatic juice through the pancreatic duct, controlled by the sphincter of Oddi. The primary function of the small intestine is the absorption of nutrients and minerals from food."
Bernhard Riemann,"Georg Friedrich Bernhard Riemann [ˈʁiːman] (September 17, 1826 – July 20, 1866) was an influential German mathematician who made lasting and revolutionary contributions to analysis, number theory, and differential geometry. In the field of real analysis, he is mostly known for the first rigorous formulation of the integral, the Riemann integral, and his work on Fourier series. His contributions to complex analysis include most notably the introduction of Riemann surfaces, breaking new ground in a natural, geometric treatment of complex analysis. His famous 1859 paper on the prime-counting function, containing the original statement of the Riemann hypothesis, is regarded, although it is his only paper in the field, as one of the most influential papers in analytic number theory. Through his pioneering contributions to differential geometry, Riemann laid the foundations of the mathematics of general relativity."
Gabriel synthesis,"The Gabriel synthesis is a chemical reaction that transforms primary alkyl halides into primary amines. Traditionally, the reaction uses potassium phthalimide. The reaction is named after the German chemist Siegmund Gabriel."
Interferon,"Interferons (IFNs) are a group of signaling proteins made and released by host cells in response to the presence of several pathogens, such as viruses, bacteria, parasites, and also tumor cells. In a typical scenario, a virus-infected cell will release interferons causing nearby cells to heighten their anti-viral defenses."
Archimedes,"Archimedes of Syracuse (/ˌɑːkɪˈmiːdiːz/; Greek: Ἀρχιμήδης; c. 287 BC – c. 212 BC) was an Ancient Greek mathematician, physicist, engineer, inventor, and astronomer. Although few details of his life are known, he is regarded as one of the leading scientists in classical antiquity. Generally considered the greatest mathematician of antiquity and one of the greatest of all time, Archimedes anticipated modern calculus and analysis by applying concepts of infinitesimals and the method of exhaustion to derive and rigorously prove a range of geometrical theorems, including the area of a circle, the surface area and volume of a sphere, and the area under a parabola."
Hymenoptera,"Hymenoptera is the third-largest order of insects, comprising the sawflies, wasps, bees, and ants. Over 150,000 species are recognized, with many more remaining to be described. The name refers to the wings of the insects, but the original derivation is ambiguous. All references agree that the derivation involves the Ancient Greek πτερόν (pteron) for wing. The Ancient Greek ὑμήν (hymen) for membrane provides a plausible etymology for the term because these insects have membranous wings. However, a key characteristic of this order is that the hind wings are connected to the fore wings by a series of hooks. Thus, another plausible etymology involves Hymen, the Ancient Greek god of marriage, as these insects have ""married wings"" in flight."
Aorta,"The aorta (/eɪˈɔrtə/) is the main artery in the human body, originating from the left ventricle of the heart and extending down to the abdomen, where it splits into two smaller arteries (the common iliac arteries). The aorta distributes oxygenated blood to all parts of the body through the systemic circulation."
Topoisomerase,"Topoisomerases are enzymes that regulate the overwinding or underwinding of DNA. The winding problem of DNA arises due to the intertwined nature of its double-helical structure. During DNA replication and transcription, DNA becomes overwound ahead of a replication fork. If left unabated, this tension would eventually stop the ability of RNA & DNA polymerase involved in these processes to continue down the DNA strand."
Invisible Man,"Invisible Man is a novel by Ralph Ellison, published by Random House in 1952. It addresses many of the social and intellectual issues facing African-Americans early in the twentieth century, including black nationalism, the relationship between black identity and Marxism, and the reformist racial policies of Booker T. Washington, as well as issues of individuality and personal identity."
Tritium,"Tritium (/ˈtrɪtiəm/ or /ˈtrɪʃiəm/; symbol T or 3H, also known as hydrogen-3) is a radioactive isotope of hydrogen. The nucleus of tritium (sometimes called a triton) contains one proton and two neutrons, whereas the nucleus of protium (by far the most abundant hydrogen isotope) contains one proton and no neutrons. Naturally occurring tritium is extremely rare on Earth, where trace amounts are formed by the interaction of the atmosphere with cosmic rays. The name of this isotope is formed from the Greek word τρίτος (trítos) meaning ""third""."
Magnetic moment,"The magnetic moment of a magnet is a quantity that determines the torque it will experience in an external magnetic field. A loop of electric current, a bar magnet, an electron (revolving around a nucleus), a molecule, and a planet all have magnetic moments."
Mediterranean Sea,"The Mediterranean Sea /ˌmɛdɪtəˈreɪniən ˈsiː/ is a sea connected to the Atlantic Ocean surrounded by the Mediterranean region and almost completely enclosed by land: on the north by Southern Europe and Anatolia, on the south by North Africa, and on the east by the Levant. The sea is sometimes considered a part of the Atlantic Ocean, although it is usually identified as a separate body of water."
Treaty of Waitangi,The Treaty of Waitangi (Māori: Tiriti o Waitangi) is a treaty first signed on 6 February 1840 by representatives of the British Crown and various Māori chiefs from the North Island of New Zealand.
Taiga,"Taiga (/ˈtaɪɡə/; Russian: тайга́; IPA: [tɐjˈɡa]; from Turkic) also known as boreal forest or snow forest, is a biome characterized by coniferous forests consisting mostly of pines, spruces and larches."
Herpesviridae,"Herpesviridae is a large family of DNA viruses that cause diseases in animals, including humans. The members of this family are also known as herpesviruses. The family name is derived from the Greek word herpein (""to creep""), referring to the latent, recurring infections typical of this group of viruses. Herpesviridae can cause latent or lytic infections."
Technetium,"Technetium (/tɛkˈniːʃiəm/) is a chemical element with symbol Tc and atomic number 43. It is the element with the lowest atomic number in the periodic table that has no stable isotopes: every form of it is radioactive. Nearly all technetium is produced synthetically, and only minute amounts are found in nature. Naturally occurring technetium occurs as a spontaneous fission product in uranium ore or by neutron capture in molybdenum ores. The chemical properties of this silvery gray, crystalline transition metal are intermediate between rhenium and manganese."
Reflection (physics),"Reflection is the change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves. The law of reflection says that for specular reflection the angle at which the wave is incident on the surface equals the angle at which it is reflected. Mirrors exhibit specular reflection."
Shark,"Sharks are a group of fish characterized by a cartilaginous skeleton, five to seven gill slits on the sides of the head, and pectoral fins that are not fused to the head. Modern sharks are classified within the clade Selachimorpha (or Selachii) and are the sister group to the rays. However, the term ""shark"" has also been used for extinct members of the subclass Elasmobranchii outside the Selachimorpha, such as Cladoselache and Xenacanthus, as well as other Chondrichthyes such as the holocephalid eugenedontidans. Under this broader definition, the earliest known sharks date back to more than 420 million years ago. Acanthodians are often referred to as ""spiny sharks""; though they are not part of Chondrichthyes proper, they are a paraphyletic assemblage leading to cartilaginous fish as a whole."
Carboxylic acid,A carboxylic acid /ˌkɑrbɒkˈsɪlɪk/ is an organic compound that contains a carboxyl group (C(O)OH). The general formula of a carboxylic acid is R−C(O)OH with R referring to the rest of the (possibly quite large) molecule. Carboxylic acids occur widely and include the amino acids and acetic acid (as vinegar).
Contact process,"The contact process is the current method of producing sulfuric acid in the high concentrations needed for industrial processes. Platinum used to be the catalyst for this reaction, however as it is susceptible to reacting with arsenic impurities in the sulfur feedstock, vanadium(V) oxide (V2O5) is now preferred."
Graphene,"Graphene (/ˈɡræf.iːn/) is an allotrope of carbon in the form of a two-dimensional, atomic-scale, hexagonal lattice in which one atom forms each vertex. It is the basic structural element of other allotropes, including graphite, charcoal, carbon nanotubes and fullerenes. It can also be considered as an indefinitely large aromatic molecule, the limiting case of the family of flat polycyclic aromatic hydrocarbons."
Tezcatlipoca,"Tezcatlipoca (/ˌtɛzˌkætliˈpoʊkə/; Classical Nahuatl: Tezcatlipōca pronounced [teskatɬiˈpoːka]) was a central deity in Aztec religion, and his main festival was the Toxcatl ceremony celebrated in the month of May. One of the four sons of Ometeotl, he is associated with a wide range of concepts, including the night sky, the night winds, hurricanes, the north, the earth, obsidian, enmity, discord, rulership, divination, temptation, jaguars, sorcery, beauty, war and strife. His name in the Nahuatl language is often translated as ""Smoking Mirror"" and alludes to his connection to obsidian, the material from which mirrors were made in Mesoamerica which were used for shamanic rituals and prophecy. Another talisman related to Tezcatlipoca was a disc worn as a chest pectoral. This talisman was carved out of abalone shell and depicted on the chest of both Huitzilopochtli and Tezcatlipoca in codex illustrations."
Time,"Time (styled within the magazine as TIME) is an American weekly news magazine published in New York City. It was founded in 1923 and for decades was dominated by Henry Luce, who built a highly profitable stable of magazines. A European edition (Time Europe, formerly known as Time Atlantic) is published in London and also covers the Middle East, Africa and, since 2003, Latin America. An Asian edition (Time Asia) is based in Hong Kong. The South Pacific edition, which covers Australia, New Zealand, and the Pacific Islands, is based in Sydney, Australia. In December 2008, Time discontinued publishing a Canadian advertiser edition."
Arrow's impossibility theorem,"In social choice theory, Arrow’s impossibility theorem, the General Possibility Theorem or Arrow’s paradox states that, when voters have three or more distinct alternatives (options), no rank order voting system can convert the ranked preferences of individuals into a community-wide (complete and transitive) ranking while also meeting a pre-specified set of criteria. These pre-specified criteria are called unrestricted domain, non-dictatorship, Pareto efficiency, and independence of irrelevant alternatives. The theorem is often cited in discussions of election theory as it is further interpreted by the Gibbard–Satterthwaite theorem."
Lanthanide,"The lanthanide /ˈlænθənaɪd/ or lanthanoid /ˈlænθənɔɪd/ series of chemical elements comprises the fifteen metallic chemical elements with atomic numbers 57 through 71, from lanthanum through lutetium. These fifteen lanthanide elements, along with the chemically similar elements scandium and yttrium, are often collectively known as the rare earth elements."
Carbocation,A carbocation /ˌkɑrbɵˈkætaɪ.ɒn/ is an ion with a positively charged carbon atom. Among the simplest examples are methenium CH+
Chaos theory,"Chaos theory is the field of study in mathematics that studies the behavior of dynamical systems that are highly sensitive to initial conditions—a response popularly referred to as the butterfly effect. Small differences in initial conditions (such as those due to rounding errors in numerical computation) yield widely diverging outcomes for such dynamical systems, rendering long-term prediction impossible in general. This happens even though these systems are deterministic, meaning that their future behavior is fully determined by their initial conditions, with no random elements involved. In other words, the deterministic nature of these systems does not make them predictable. This behavior is known as deterministic chaos, or simply chaos. The theory was summarized by Edward Lorenz as:"
Meissner effect,"The Meissner effect is the expulsion of a magnetic field from a superconductor during its transition to the superconducting state. The German physicists Walther Meissner and Robert Ochsenfeld discovered this phenomenon in 1933 by measuring the magnetic field distribution outside superconducting tin and lead samples. The samples, in the presence of an applied magnetic field, were cooled below their superconducting transition temperature. Below the transition temperature the samples cancelled nearly all interior magnetic fields. They detected this effect only indirectly because the magnetic flux is conserved by a superconductor: when the interior field decreases, the exterior field increases. The experiment demonstrated for the first time that superconductors were more than just perfect conductors and provided a uniquely defining property of the superconducting state."
